"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.110033795764413,0.310006108060114,0.262,0.261,1,"GRID1"
6.93846791566621e-08,0.308896622634142,0.275,0.238,0.000752823768849784,"PXK"
2.41574630234039e-13,0.306013642256459,0.543,0.5,2.62108473803933e-09,"FRMD5"
5.46586614668185e-05,0.305593296803408,0.291,0.267,0.59304647691498,"HNRNPA2B1"
2.69017459544914e-09,0.29278273101312,0.397,0.36,2.91883943606231e-05,"GLUL"
1.71096026996325e-21,0.291633313172024,0.463,0.376,1.85639189291012e-17,"SHTN1"
1.14615094739517e-06,0.287304486127522,0.256,0.223,0.0124357377792376,"PLEKHH1"
1.2684584810184e-07,0.2871618300634,0.267,0.23,0.00137627745190497,"SLCO3A1"
3.54221317381144e-05,0.286498380311036,0.377,0.361,0.384330129358541,"DPYSL2"
6.27274710629114e-06,0.28500179783726,0.392,0.371,0.0680593061032588,"PTPRK"
8.17139748666367e-10,0.282322237580779,0.456,0.423,8.86596627303008e-06,"RTN4"
3.48978132462337e-13,0.282105100321637,0.342,0.282,3.78641273721635e-09,"ENPP2"
7.20649896859372e-13,0.26923117164884,0.46,0.407,7.81905138092418e-09,"ELMO1"
1.0175929388307e-09,0.257043270941433,0.281,0.235,1.1040883386313e-05,"HHIP"
0.00132056698743012,0.252528892198187,0.251,0.232,1,"HIP1"
7.30216607820198e-51,-0.252146140379983,0.95,0.954,7.92285019484915e-47,"PCDH9"
1.40468921478332e-12,-0.255689960489424,0.248,0.306,1.5240877980399e-08,"C9orf3"
1.89588109261137e-10,-0.256138428130293,0.204,0.252,2.05703098548334e-06,"RALGAPA1"
3.49558364963762e-23,-0.25882225456134,0.288,0.379,3.79270825985682e-19,"NCOA1"
6.60651127597552e-29,-0.259567194029908,0.39,0.505,7.16806473443344e-25,"N4BP2L2"
1.85012466635709e-12,-0.264941271041033,0.274,0.332,2.00738526299744e-08,"LRRC7"
2.58361178544447e-11,-0.270904511853305,0.221,0.273,2.80321878720725e-07,"COBL"
1.98035860531815e-29,-0.270984605729139,0.342,0.452,2.14868908677019e-25,"GPHN"
2.74645545575547e-15,-0.273519223658726,0.2,0.261,2.97990416949469e-11,"WDFY3"
